Identyfikator problemu,Opis,Stan,Ważność,Punkty scenariusza,Ścieżka projektu,Rodzaj lokalizacji,ŚCIEŻKA,Wiersz,Kolumna,Identyfikator zdarzenia,Link pomocy,Nazwa zestawu,Wersja zestawu,Klucz publiczny zestawu,Fragment kodu
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,206,12,T:Microsoft.Win32.PowerModeChangedEventHandler,,,,,SystemEvents.PowerModeChanged -= OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,206,12,T:Microsoft.Win32.PowerModeChangedEventHandler,,,,,SystemEvents.PowerModeChanged -= OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,206,12,E:Microsoft.Win32.SystemEvents.PowerModeChanged,,,,,SystemEvents.PowerModeChanged -= OnPowerModeChanged;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,205,12,T:Microsoft.Win32.SessionSwitchEventHandler,,,,,SystemEvents.SessionSwitch -= OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,205,12,T:Microsoft.Win32.SessionSwitchEventHandler,,,,,SystemEvents.SessionSwitch -= OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,205,12,E:Microsoft.Win32.SystemEvents.SessionSwitch,,,,,SystemEvents.SessionSwitch -= OnSessionSwitch;
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,103,8,T:Microsoft.Win32.PowerModeChangedEventArgs,,,,,"private void OnPowerModeChanged(object sender, PowerModeChangedEventArgs e)"
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,110,17,T:Microsoft.Win32.PowerModes,,,,,if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,110,17,T:Microsoft.Win32.PowerModes,,,,,if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,110,17,F:Microsoft.Win32.PowerModes.Resume,,,,,if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,110,17,T:Microsoft.Win32.PowerModes,,,,,if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
Api.0002,Źródło jest niezgodne dla wybranej wersji platformy .NET,Active,Potential,1,AmbilightEngine.Core\AmbilightEngine.Core.csproj,File,AmbilightEngine.Core\SystemState\SystemStateWatcher.cs,110,17,P:Microsoft.Win32.PowerModeChangedEventArgs.Mode,,,,,if (e.Mode == PowerModes.Resume)              {                  TriggerUnlockMode();              }
